name,phone_numbers,email,websites,yearEstablished,acceptsVolunteers,facebookLink,twitterLink,linkedinLink,instagramLink,logo,address_line1,address_line2,address_line3,address_city,address_stateOrRegion,address_zipOrPostcode,address_country,address_countryCode,latitude,longitude,facilityTypeId,operatorTypeId,affiliationTypeIds,description,area,numberDoctors,capacity,procedure,equipment,capability,specialties,source_doc
ACHIASE HEALTH CENTRE,['+233244531142' '+233202490199'],,[],,,,,,,,ACHIASE,,,Unknown,Ashanti Region,,,,,,,,,General,,,,[],[],"['ACHIASE HEALTH CENTRE is a government-owned health centre located in ACHIASE.'
 'Type: HEALTH CENTRE.' 'Location: ACHIASE.' 'Ownership: GOVERNMENT.'
 'Telephone numbers: 0244-531142 and 020-2490199.'
 'Services provided: General.' 'NHIS accreditation: yes.']",,CSV Seed
Achimota Hospital,['+233206945455'],achimota.dhgar@ghs.gov.gh,[],,,,,,,,GA-297-6410,,,ACCRA,Ghana,,,,,,,,,,,,,[],[],"['Organization name: ACHIMOTA HOSPITAL' 'Organization abbreviation: ACHS'
 'City: ACCRA' 'Country: Ghana' 'Street address: GA-297-6410'
 'Phone number: 0206945455' 'Email: achimota.dhgar@ghs.gov.gh'
 'Last updated: 17 April 2025']",,CSV Seed
Acrecity Medics,['+233303976965' '+233209421856'],info@acrecitymedics.com,['acrecitymedics.com'],,,,,,,,Suite G05 Nester Square,,,Accra,Ghana,,,,,,,,,"Acrecity Medics runs a clinic in Airport City, Accra.",,,,"['Provides diagnostic imaging services'
 'Provides in-house laboratory services']",[],"['Location: Suite G05 Nester Square, Airport City, Accra, Ghana'
 'Serves Airport City and the Greater Accra Metropolis'
 'Opening hours: Monday–Friday 08:00–19:00; Saturday 09:00–14:00'
 'Offers GP & Specialist Clinics; Diagnostics; Travel & Immunisation; Dispensary; Medical Tourism; Healthcare Events'
 'Specialist clinics include Obstetrics & Gynaecology, Paediatrics, ENT, Internal Medicine, Clinical Psychology, Ophthalmology, Dermatology, and Dietetics'
 'In-house pharmacists provide complimentary tailored medication consultations and drug interaction checks'
 'On-site dispensary available'
 ""Located 3 minutes' drive from Kotoka International Airport""]",,CSV Seed
Acres Medical Centre,['+233509899878'],acresmedicalcentre@gmail.com,[],,,,,,,,82 Lakeside Estate Community 1,,,Accra,Ghana,,,,,,,,,Acres Medical Centre is in Lakeside Estate.,,,,[],[],"['Identified as a primary hospital'
 'Located at 82 Lakeside Estate, Community 1, Ashaley Botwe, Accra, Ghana'
 'Has contact numbers +233 50 989 9878 and 0509899878 (WhatsApp only)'
 'Email acresmedicalcentre@gmail.com' 'Offers pediatric consultations']",,CSV Seed
Adabraka Polyclinic (Ridge Hospital OPD),[],,[],,,,,,,,,,,Accra,Ghana,,,,,,,,,,,,,[],[],[],,CSV Seed
Adansi Comunity Clinic,['+233276374968'],,[],,,,,,,,C/O P.O.BOX 48,,,Unknown,Ghana,,,,,,,,,,,,,[],[],"['Type: Health Centre' 'Ownership: Government'
 'Location: C/O P.O.BOX 48, DABOASE' 'Telephone: 027-637-496-8'
 'Services: General' 'NHIS accredited: yes']",,CSV Seed
Adenta Clinic,[],,[],,,,,,,,,,,Accra,Ghana,,,,,,,,,,,,,[],[],"['Located in Accra, Ghana'
 'Facebook page identifies Adenta Clinic as a local business'
 'Facebook page is labeled as an unofficial page for Adenta Clinic'
 '137 people have checked in at Adenta Clinic on the Facebook page'
 '16 people like this Adenta Clinic page'
 '16 people follow this Adenta Clinic page' 'Page created on 10 June 2012'
 'Operating hours listed on the page include 6AM, 9AM, 12PM, 3PM, 6PM, 9PM, 12AM and 3AM']",,CSV Seed
"Adiebebahospital - No. 4 Melcom road, Ahodwo, Ghana",['+233544111166'],,[],,,,,,,,No. 4 Melcom road,,,Ahodwo,Ghana,,,,,,,,,,,,,[],[],"['Located at No. 4 Melcom road, Ahodwo, Ghana'
 'Operates a child welfare clinic' 'Phone number +233 54 411 1166']",,CSV Seed
Adiebeba Specialist Hospital,['+233544111166' '+233506677999'],info@adiebebahospital.com,['adiebahospital.com'],,,,,,,,Ahodwo,,,Kumasi,Ghana,,,,,,,,,Adiebeba Specialist Hospital is one of the pioneers in private sector healthcare delivery in Ghana.,,,,"['Cervical cancer screening, vaccination and treatment'
 'Breast cancer screening, vaccination and treatment of all stages'
 'Eye care with comprehensive eye and vision examination'
 'Surgery department undertakes all aspects of surgical procedures'
 'Urology services' 'Obstetrics and Gynecology services'
 'Emergency department provides 24-hour emergency services with sophisticated interventions'
 'Ultrasound (USG) and electrocardiography (ECG) services'
 'Pediatrics (Child Welfare) services for neonates, infants, children, and adolescents'
 'Laboratory services conducting investigations'
 'Pharmacy services dispensing drugs to in-patients and out-patients']",['Ultramodern equipment' 'State-of-the-art technology'],"['Pioneers in private sector healthcare delivery in Ghana'
 'Open 24/7 with a 24-hour emergency department'
 'Available seven days a week with around-the-clock operations'
 'Clinical and nursing care provided to international standards'
 'Departments include Eye Care, Cervical Cancer, Breast Care, Mental Health, Laboratory, Surgery, Urology, Emergency, USG and ECG Services, Obstetrics and Gynecology, Pharmacy, and Pediatrics']",,CSV Seed
Adjoum Community Clinic,[],,[],,,,,,,,Western,,,Adjoum,Western,,,,,,,,,"Adjoum Community Clinic is a private clinic in Western, Adjoum Ghana.",,,,[],[],"['Private clinic located in Western region, Adjoum, Ghana']",,CSV Seed
Adum Banso Community Clinic,['O244541118'],,[],,,,,,,,ADUM BANSO C/O P.O.BOX 48,,,Adum Banso,Western Region,,,,,,,,,"Type: Health Centre; Ownership: Government; Location: ADUM BANSO C/O P.O.BOX 48, DABOASE; Tel: O244541118; Services: General; NHIS accredited?: yes",,,,[],[],"['Type: Health Centre' 'Ownership: Government'
 'Location: ADUM BANSO C/O P.O.BOX 48, DABOASE' 'Tel: O244541118'
 'NHIS accredited: yes' 'Services: General']",,CSV Seed
Adumkrom PHC Clinic,[],,[],,,,,,,,,,,Adumkrom,Western,,,,,,,,,"Adumkrom PHC Clinic is a private clinic in Western, Adumkrom Ghana.",,,,[],[],[],,CSV Seed
Advocate Healthcare,['+233501583744'],advocatehealthcarecaregh@gmail.com,['advocate.thelinkplace.com'],,,,,,,,Lakeside Community 8 Road,,,Accra,Ghana,,,,,,,,,"Advocate Healthcare stands for life. We offer General Medical and Dental services,with an in-house Dental and Medical Lab and Pharmacy.",,,,[],[],"['Offers General Medical and Dental services' 'Has an in-house Dental Lab'
 'Has an in-house Medical Lab' 'Has an on-site Pharmacy'
 'Located at Lakeside Estate, Accra, Ghana' 'Phone: +233 50 158 3744'
 'Email: advocatehealthcarecaregh@gmail.com']",,CSV Seed
Afamaso Maternity Home,[],,[],,,,,,,,,,,Afamaso,Ashanti,,,,,,,,,"Afamaso Maternity Home is a private maternity home in Ashanti, Afamaso Ghana.",,,,[],[],"['Afamaso Maternity Home is a private maternity home in Afamaso, Ashanti region, Ghana.'
 'Quality maternal care in a supportive environment.'
 'Listed in categories: Doctors and Clinics; Medical Clinics; Pregnancy and Child Birth; Maternity Services; Maternity Homes.'
 'Registered with GhanaYello on 12 Apr, 2018.'
 'Afamaso Maternity Home listing has 0 reviews.']",,CSV Seed
Aframso Health Centre,['+233243183722'],,[],,,,,,,,AFRAMSO 111,,,Nsuta,Ghana,,,,,,,,,General,,,,['Aframso Health Centre provides general health services.'],[],"['Aframso Health Centre is a government-owned health centre'
 'Located at Aframso 111, Box 36, Nsuta'
 'Telephone number is 024-318-372-2' 'Has NHIS accreditation']",,CSV Seed
"African Vision Clinic - Adenta Housing down, Accra, Ghana",[],,[],,,,,,,,Adenta Housing down,,,Accra,Ghana,,,,,,,,,Health & Medical Services / Alternative Medicines / Medical Supply & Engineering Services; Maternity Clinic,,,,[],[],"['Located at Adenta Housing down, Accra, Ghana' 'Always open'
 'Offers Health & Medical Services, Alternative Medicines, and Medical Supply & Engineering Services'
 'Has a maternity clinic']",,CSV Seed
Agogo Hospital,[],,[],,,,,,,,,,,Atonsu Kumasi,Ghana,,,,,,,,,,,,,[],[],[],,CSV Seed
"Agogo Presbyterian Hospital, Asante Akim North, Agogo",['+233322495750'],info@agogopresbyhospital.org,['agogopresbyhospital.org'],1931.0,,,,,,,,,,Agogo,Ashanti Region,,,,,,,,,"The Presbyterian Hospital, Agogo (PreHA) was established on 21st March, 1931 making it the oldest Mission Hospital in Ghana. PreHA is well known to be second to Komfo Anokye Teaching Hospital in terms of performance outputs in the Ashanti Region.",,,,[],[],"['Established on 21 March 1931.' 'Oldest Mission Hospital in Ghana.'
 'Located in Agogo, Asante Akim North, Ghana.' 'Also known as PREHA.'
 'Ranks second to Komfo Anokye Teaching Hospital in terms of performance outputs in the Ashanti Region.'
 'Operates 24/7.' 'Phone number: +233 32 249 5750.'
 'Email: info@agogopresbyhospital.org.']",,CSV Seed
Agyakwa Hospital,['+233322496579'],,[],,,,,,,,,,,Nkawkaw,Ghana,,,,,,,,,AGYAKWA HOSPITAL is located in Nkawkaw.,,,,[],[],"['Located in Nkawkaw, Ghana' 'Phone number +233 32 249 6579' 'Always open']",,CSV Seed
Agyakwa Hospital - Nkawkaw,['+233343122079'],,[],,,,,,,,Domeabra,,,Nkawkaw,Ghana,,,,,,,,,"Agyakwa Hospital Ltd. located at Domeabra Nkawkaw, Nkawkaw, Ghana provides services in Health & Medical Centers.",,,,[],[],"['Agyakwa Hospital Ltd. is located in Domeabra, Nkawkaw, Nkawkaw, Ghana.'
 'Phone number is +233 343 122079.'
 'Offers health and medical center services.'
 'Listed in the Health & Medical Centers category for Nkawkaw.']",,CSV Seed
Ahenema Kokoben Health Centre,[],,[],,,,,,,,,,,Kumasi,Ghana,,,,,,,,,,,,,[],[],"['The Facebook page for Ahenema Kokoben Health Centre is an unofficial page.'
 'The page classifies the facility as a hospital on Facebook.'
 'The health centre is located in Kumasi, Ghana.'
 'The page indicates the health centre is always open.']",,CSV Seed
Ahmadiyya Muslim Hospital Asokore Ashanti,['+233244222575'],,[],,,,,,,,Akwamase street,,,Asokore,Ghana,,,,,,,,,We are still noted for good hospitality and better services,,,,[],[],"['Located on Akwamase Street, Asokore, Ghana'
 'Phone number: +233 24 422 2575'
 'Is noted for good hospitality and better services']",,CSV Seed
Ahmadiyya Muslim Mission Hospital,[],,[],,,,,,,,AHMADIYYA HOSPITAL COMPOUND,,,DABOASE,Western Region,,,,,,,,,"Type: Primary Hospital; Ownership: Mission; Location: AHMADIYYA HOSPITAL COMPOUND, P.O.BOX 31 DABOASE; Tel: 031-914-87/027-111-866-6/027-168-041-2; Services: General; NHIS accredited?: yes",,,,[],[],"['Type: Primary Hospital' 'Ownership: Mission'
 'Location: AHMADIYYA HOSPITAL COMPOUND, P.O.BOX 31 DABOASE'
 'Telephone: 031-914-87/027-111-866-6/027-168-041-2'
 'Provides general medical services' 'NHIS accredited: yes']",,CSV Seed
AIH lab & X-ray Center,['+233303319319'],Aihospitaltema@gmail.com,[],,,,,,,,"Community 22 Junction, Tema",,,Tema,Ghana,,,,,,,,,"We perform Medical lab tests ,X-rays, Ultrasound Scans",,,,"['Performs medical laboratory tests' 'Provides X-ray imaging services'
 'Provides ultrasound scans']",[],"['Located at Community 22 Junction, Tema, Ghana' 'Diagnostic Center']",,CSV Seed
Airport Women's Hospital,"['[""+233545565525""]']",info@airportwomenshospital.com,['airportwomenshospital.com'],,,,,,,,No. 16 Kofi Annan Street,,,Accra,Accra,,,,,,,,,,,,,[],[],"['Located at No. 16 Kofi Annan Street, Airport Residential Area, Accra, Ghana'
 'Phone: +233 54 556 5525' 'Email: info@airportwomenshospital.com'
 'Website: airportwomenshospital.com'
 'Facebook page category: Pregnancy Care Center'
 'Facebook page status: Always open'
 'Paediatric Clinic hours on March 31, 2025: OPEN 9:00 AM to 2:00 PM'
 'Child Welfare Clinic hours on March 31, 2025: CLOSED']",,CSV Seed
Aisha Hospital,['+233372097094'],info@aishahospital.com,[],,,,,,,,Old Airport Road,,,Tamale,Ghana,,,,,,,,,The Aisha Hospital is located in Tamale on the Old Airport Road around the Aliu Mahama Sports Stadium area.,,,,"['Performs a comprehensive range of surgical procedures in the Surgical Department'
 'Provides pre-hospital emergency care to accident victims and standby emergency coverage at mass gatherings'
 'Offers diagnostic imaging procedures including X-ray, CT, MRI, ultrasound, and nuclear medicine']","['Imaging equipment includes X-ray machines, CT scanners, MRI scanners, ultrasound devices, and nuclear medicine imaging equipment']","['VIP department provides comprehensive and advanced care for VIP patients'
 'Emergency care services including pre-hospital care and standby cover at mass gatherings'
 'Direct insurance billing with major international providers'
 'Diagnostic & Imaging Department provides imaging services'
 'Renal and Dialysis Center available as a hospital department'
 'Departments include General Medical Services, Surgical Department, Obstetrics & Gynecology, Ophthalmic and Eye Care, Stomatology (Dental Care), Renal & Dialysis Center, ENT Department, Diagnostic & Imaging Department, Anesthesia Department'
 'Located on Old Airport Road in Tamale, Ghana']",,CSV Seed
Ajumako Hospital,[],,[],,,,,,,,,,,Ajumako,Central,,,,,,,,,"Ajumako Hospital is a government district hospital in Central, Ajumako Ghana.",,,,[],[],"['Address: Central, Ajumako, Ghana'
 'Is a government district hospital in Central, Ajumako Ghana'
 'Listed in Hospitals category']",,CSV Seed
Akan Herbal Treatment Center,['+233207319154'],Akanherbal@gmail.com,[],,,,,,,,High Tention,,,Kumasi,Ghana,,,,,,,,,"Akan herbal Treatments center is a herbal clinic which use pure herbal medicine to cure a lot of sickness, we do house to house service within Accra as well.",,,,['Provides traditional herbal medicine treatment for various ailments'],[],"['Is a herbal clinic offering traditional herbal medicine'
 'Provides house-to-house service within Accra' 'Is always open']",,CSV Seed
Akatsi South Municipal Hospital,['+233544666114' '+233548805698'],,[],1996.0,,,,,,,Gbalixorme,,,Akatsi,Ghana,,,,,,,,,"Akatsi South Municipal Hospital was established as a dental clinic in 1996. It was upgraded to a health center in 1996. It was again upgraded to a district hospital in 2007 and further upgraded to Municipal status in the year 2021. Our mission is to provide compassionate holistic health-care to promote healing, foster innovation and empower our diverse community to achieve optimal well-being. Services rendered include mental health, maternal & child health, out-patient (OPD) services, inpatient services, laboratory services, pharmacy & dispensary services, ART and public health services. Specialized units include Dental, ENT and Eye. The recent additions include Diabetes/Hypertension (DM/HPT) clinic, wellness clinic, breast and cervical screening units.",,,,"['Provides outpatient (OPD) services' 'Provides inpatient services'
 'Provides laboratory services'
 'Provides pharmacy and dispensing services'
 'Provides ART (antiretroviral therapy) services'
 'Provides public health services'
 'Specialized units include Dental, ENT and Eye'
 'Mental health services are provided'
 'Maternal and child health services are provided']",[],"['Open 24 hours a day, 7 days a week'
 'Mental health services are provided'
 'Maternal and child health services are provided'
 'Out-patient (OPD) services are provided'
 'Inpatient services are provided' 'Laboratory services are provided'
 'Pharmacy and dispensing services are provided'
 'ART services are provided' 'Public health services are provided'
 'Specialized units include Dental, ENT and Eye'
 'Diabetes/Hypertension (DM/HPT) clinic is available'
 'Wellness clinic is available'
 'Breast and cervical screening units are available'
 'Upgraded to Municipal status in 2021'
 'Hospital manager is Mawuli Asimenu']",,CSV Seed
AKOMADE CLINIC,[],,[],,,,,,,,,,,Atebubu,Ghana,,,,,,,,,,,,,[],[],[],,CSV Seed
Akora Health Care,['+233550882089'],fadwomor@gmail.com,[],,,,,,,,c/o SSNIT Asafo branch office Kumasi,,,Kumasi,Ghana,,,,,,,,,we help maintain healthy body and care for all manner of heath problems and diseases.,,,,[],[],"['Located in Kumasi, Ghana'
 'Address: c/o SSNIT Asafo branch office Kumasi, Kumasi, Ghana'
 'Phone: +233 55 088 2089' 'Email: fadwomor@gmail.com' 'Always open']",,CSV Seed
Akrofrom Health Centre - Ghana,[],,[],,,,,,,,,,,Akrofrom,Ashanti Region,,,,,,,,,"Akrofrom Health Centre is a government health centre in Ashanti, Akrofrom Ghana.",,,,[],[],"['Government health centre located in Akrofrom, Ashanti Region, Ghana'
 'Address: Ashanti, Akrofrom, Ghana'
 'Registered with GhanaYello on 12 Apr, 2018'
 'Listed in GhanaYello categories including Doctors and Clinics, Hospitals, Medical Clinics, Health Care, Nursing and Care, and Rehabilitation Clinics']",,CSV Seed
Akwamuman Herbal Clinic,['+233244103722'],Akwamuherbalclinic@gmail.com,[],,,,,,,,NEW AKRADE,,,Akosombo,Ghana,,,,,,,,,Akwamuman Herbal Clinic is a specialized herbal clinic which treats all kinds and forms of diseases.,,,,[],[],"['Operates as a specialized herbal clinic'
 'Treats all kinds and forms of diseases'
 'Located at NEW AKRADE, Akosombo, Ghana' 'Always open']",,CSV Seed
Al-Ayar Hospital,[],,[],,,,,,,,Dzagble Avenue,,,Accra,Greater Accra,,,,,,,,,"Al-Ayar Hospital is a hospital, located at Al-Ayar Hospital, Dzagble Avenue, Accra, Ghana",,,,[],[],[],,CSV Seed
Alhaji Nuhu Memorial Healthcare Centre,['+2332039177611'],aabeka@hotmail.com,['alhajinuhumemorial.org'],,,,,,,,Kamgbunli Main Street,,,Kamgbunli,Western Region,,,,,,,,,"We are located at KAMGBUNLI in the Western Region of GHANA. Our services: emergency, out and in-patient care, diagnostic imaging, laboratory, maternity, mental health, family planning, cuts, burns and wounds’ treatment and dressing.",,,,[],[],"['Emergency services are provided.' 'Outpatient care is provided.'
 'Inpatient care is provided.' 'Diagnostic imaging services are provided.'
 'Laboratory services are provided.' 'Maternity services are provided.'
 'Mental health services are provided.'
 'Family planning services are provided.'
 'Wound care including cuts, burns and dressing is provided.'
 'Located at Kamgbunli Main Street, Western Region, Ghana.']",,CSV Seed
Al-haq Herbal Center,['+233509585898'],,[],,,,,,,,"On the Nalerigu Road, few meters away from the Gas filling station",,,Walewale,Northern Region,,,,,,,,,Al-haq Herbal Center is a modern herbal clinic in Northern Ghana.,,,,[],[],"['Located on the Nalerigu Road, few meters away from the Gas filling station, Walewale, Ghana'
 'Identifies itself as a modern herbal clinic in Northern Ghana'
 'Contact phone number is 0509585898' 'Currently closed']",,CSV Seed
Alice Memorial Maternity Clinic - Ghana,[],,[],,,,,,,,,,,Tepa,Ashanti,,,,,,,,,"Alice Memorial Maternity Clinic is a private maternity home in Ashanti, Tepa Ghana.",,,,[],[],"['Alice Memorial Maternity Clinic is a private maternity home in Ashanti, Tepa, Ghana'
 'Address: Ashanti, Tepa, Ghana' 'Telephone: +233 270 455522'
 'Registered with GhanaYello on 12 Apr, 2018'
 'Listed in the GhanaYello directory under Hospitals, Medical Clinics, Pregnancy and Child Birth, and Maternity Services']",,CSV Seed
Allen Health Clinic - Ghana,[],,[],,,,,,,,Ashanti,,,Wamasi,Ashanti,,,,,,,,,"Allen Health Clinic is a government clinic in Ashanti, Wamasi Ghana.",,,,[],[],"['Allen Health Clinic is a government clinic located in Ashanti, Wamasi, Ghana'
 'Address: Ashanti, Wamasi, Ghana'
 'Listed in categories: Hospitals, Medical Clinics, Nursing and Care, Healthcare Services']",,CSV Seed
Allied Specialist Hospital,[],,[],,,,,,,,Plot No. 42,,,Tema,Ghana,,,,,,,,,,,,,[],[],"['Located at Plot No. 42, Baatsona, Tema']",,CSV Seed
All Joy Dental Clinic,['+233 26 150 4690'],#ERROR!,[],,,,,,,,"Kotobabi Rd., Abavana St.",,,Accra,Ghana,,,,,,,,,A dental clinic in the center of town that provides professional dental services.,,,,[],[],"['Located at Kotobabi Rd., Abavana St., Accra, Ghana'
 'Located in the center of town' 'Provides professional dental services'
 'Phone: +233 26 150 4690' 'Email: alljoydentalclinic@gmail.com'
 'WhatsApp contact available for dentalcare inquiries' 'Currently closed']",,CSV Seed
All Smile Dental Clinic Dansoman Branch,['+233555782191' '+233302311240'],,[],,,,,,,,"1 Awura Meeya Road, Sahara, Dansoman, Accra",,,Accra,Ghana,,,,,,,,,"All Smile Dental Clinic Dansoman Branch provides dental care for the whole family with a focus on preventive and curative services, and a child-friendly environment.",,,,"['Laser Teeth Whitening' 'Scaling and Polishing (Teeth Cleaning)'
 'Surgical Extraction of Teeth'
 'Dental Braces (Traditional, Ceramic or Invisalign)'
 'Dental Crowns and Bridges' 'Dental Veneers' 'Fillings'
 'Root Canal Treatments' 'Dental Implants']",['Uses state-of-the-art dental equipment and facilities'],"['Paediatric dentistry available via Tooth Buds Paediatric Center'
 'Accepts corporate health insurance cards' 'Certified dentists on staff']",,CSV Seed
All Smile Dental & Paediatric Centre,['+233362196831'],info@allsmiledentalclinics.com,['allsmiledentalclinics.com'],,,,,,,,,,,Accra,Ghana,,,,,,,,,"A service-oriented dental practice with great staff and a great environment for your dental needs. We have branches in Dansoman, East Legon and Tseado.",,,,[],[],"['Has three branches: Dansoman, East Legon, and Tseado'
 'Based in Accra, Ghana' 'Phone number: +233 36 219 6831'
 'Email: info@allsmiledentalclinics.com'
 'Website: allsmiledentalclinics.com'
 'Facebook page exists for All Smile Dental & Paediatric Centre with handle Allsmilegh'
 'Facebook followers: 1.4K'
 'Description: A service-oriented dental practice with great staff and a great environment for your dental needs'
 'Facebook page status: Closed now']",,CSV Seed
Alpha Medical Diagnostic Services,['+233240898124'],alphamed2000@yahoo.com,[],,,,,,,,Aboabo Main Road,,,Kumasi,Ghana,,,,,,,,,"Alpha Medical Diagnostic Services is a medical laboratory located in Kumasi, Ghana.",,,,[],[],"['Medical laboratory located in Kumasi, Ghana'
 'Address: Aboabo Main Road, Adjacent Prudential Bank, Kumasi, Ghana'
 'Phone: +233 24 089 8124' 'Email: alphamed2000@yahoo.com'
 'Currently closed']",,CSV Seed
Ama Dansowaa Maternity Home,['+233242801771'],,[],,,,,,,,BOX 84,,,Unknown,Ghana,,,,,,,,,Maternity home offering antenatal and post-natal services; NHIS accredited.,,,,[],[],"['Type: Maternity Home' 'Ownership: Private' 'Location: BOX 84, Dadieso'
 'Telephone: 024-280-177-1' 'NHIS accredited: yes'
 'Services: Antenatal, Post-natal']",,CSV Seed
Amang Health Centre,['+233547329051'],,[],,,,,,,,Ngleshie-Amanfro Taxi rank,,,Unknown,Ghana,,,,,,,,,We treat All kinds of medical health challenges. We also provide Health Consultation to help you prev,,,,[],[],"['Treats all kinds of medical health challenges'
 'Provides health consultation services'
 'Located at Ngleshie-Amanfro Taxi rank, Kasoa, Accra, Ghana']",,CSV Seed
Amantenaman Health Centre,[],,[],,,,,,,,Nyinamponase,,,Nyinamponase,Ashanti,,,,,,,,,"Amantenaman Health Centre is a government health centre in Ashanti, Nyinamponase Ghana.",,,,[],[],"['Public/government-owned health centre located in Ashanti, Nyinamponase, Ghana'
 'Listed in GhanaYello categories: Doctors and Clinics; Community Health Centres; Hospitals; Health Care']",,CSV Seed
Amasaman Hospital,[],,[],,,,,,,,,,,Accra,Ghana,,,,,,,,,,,,,[],[],"['Listed as local business on Facebook for Amasaman Hospital'
 'Located in Accra, Ghana' 'Page indicates the hospital is always open'
 'Facebook page created on June 25, 2012']",,CSV Seed
Amen Scientific Herbal Hospital,['+233207229505'],amenherbal1@gmail.com,['amenscientificherbalhospital.com'],,,,,,,,DOME ACCRA,,,Accra,Ghana,,,,,,,,,Your trusted herbal & alternative medical hospital.,,,,[],[],"['Located in Dome, Accra, Ghana'
 'Operates as a herbal and alternative medical hospital'
 'Promotes holistic health and natural wellness solutions'
 'Website: amenscientificherbalhospital.com'
 'Email: amenherbal1@gmail.com' 'Phone: +233 20 722 9505']",,CSV Seed
